data,cidade,custo
10-2025,Brasília,717.65
10-2025,Campo Grande,777.28
10-2025,Cuiabá,794.77
10-2025,Goiânia,720.57
10-2025,Belo Horizonte,716.53
10-2025,Rio de Janeiro,801.37
10-2025,São Paulo,847.14
10-2025,Vitória,746.22
10-2025,Curitiba,761.77
10-2025,Florianópolis,824.57
10-2025,Porto Alegre,823.57
10-2025,Belém,664.31
10-2025,Boa Vista,678.95
10-2025,Macapá,679.09
10-2025,Manaus,633.25
10-2025,Palmas,695.42
10-2025,Porto Velho,618.86
10-2025,Rio Branco,631.08
10-2025,Aracaju,550.18
10-2025,Fortaleza,686.78
10-2025,João Pessoa,609.94
10-2025,Maceió,592.25
10-2025,Natal,612.18
10-2025,Recife,608.03
10-2025,Salvador,606.39
10-2025,São Luís,643.31
10-2025,Teresina,646.72
10-2025,Macaé,
09-2025,Brasília,719.81
09-2025,Campo Grande,780.67
09-2025,Cuiabá,794.03
09-2025,Goiânia,710.52
09-2025,Belo Horizonte,718.74
09-2025,Rio de Janeiro,799.22
09-2025,São Paulo,842.26
09-2025,Vitória,745.01
09-2025,Curitiba,755.56
09-2025,Florianópolis,811.07
09-2025,Porto Alegre,811.44
09-2025,Belém,672.84
09-2025,Boa Vista,681.95
09-2025,Macapá,672.72
09-2025,Manaus,642.32
09-2025,Palmas,677.87
09-2025,Porto Velho,621.09
09-2025,Rio Branco,620.99
09-2025,Aracaju,552.65
09-2025,Fortaleza,677.42
09-2025,João Pessoa,610.93
09-2025,Maceió,593.17
09-2025,Natal,610.27
09-2025,Recife,615.95
09-2025,Salvador,601.74
09-2025,São Luís,623.92
09-2025,Teresina,645.98
09-2025,Macaé,
08-2025,Brasília,739.10
08-2025,Campo Grande,768.79
08-2025,Cuiabá,800.22
08-2025,Goiânia,718.94
08-2025,Belo Horizonte,725.90
08-2025,Rio de Janeiro,801.34
08-2025,São Paulo,850.84
08-2025,Vitória,743.47
08-2025,Curitiba,752.70
08-2025,Florianópolis,823.11
08-2025,Porto Alegre,811.14
08-2025,Belém,687.30
08-2025,Boa Vista,693.84
08-2025,Macapá,672.50
08-2025,Manaus,657.22
08-2025,Palmas,720.45
08-2025,Porto Velho,631.28
08-2025,Rio Branco,641.27
08-2025,Aracaju,558.16
08-2025,Fortaleza,723.06
08-2025,João Pessoa,622.08
08-2025,Maceió,596.23
08-2025,Natal,622.00
08-2025,Recife,629.14
08-2025,Salvador,616.23
08-2025,São Luís,644.21
08-2025,Teresina,663.41
08-2025,Macaé,
07-2025,Brasília,758.19
07-2025,Campo Grande,775.76
07-2025,Cuiabá,813.48
07-2025,Goiânia,735.18
07-2025,Belo Horizonte,728.69
07-2025,Rio de Janeiro,823.59
07-2025,São Paulo,865.90
07-2025,Vitória,767.42
07-2025,Curitiba,770.93
07-2025,Florianópolis,844.89
07-2025,Porto Alegre,830.41
07-2025,Belém,696.23
07-2025,Boa Vista,712.83
07-2025,Macapá,666.41
07-2025,Manaus,674.78
07-2025,Palmas,715.77
07-2025,Porto Velho,636.69
07-2025,Rio Branco,641.17
07-2025,Aracaju,568.52
07-2025,Fortaleza,738.09
07-2025,João Pessoa,648.00
07-2025,Maceió,621.74
07-2025,Natal,646.13
07-2025,Recife,655.46
07-2025,Salvador,635.08
07-2025,São Luís,664.52
07-2025,Teresina,677.00
07-2025,Macaé,
06-2025,Brasília,773.35
06-2025,Campo Grande,793.02
06-2025,Cuiabá,817.63
06-2025,Goiânia,744.27
06-2025,Belo Horizonte,734.73
06-2025,Rio de Janeiro,843.27
06-2025,São Paulo,882.76
06-2025,Vitória,782.39
06-2025,Curitiba,789.86
06-2025,Florianópolis,867.83
06-2025,Porto Alegre,831.37
06-2025,Belém,709.04
06-2025,Boa Vista,717.24
06-2025,Macapá,665.13
06-2025,Manaus,675.25
06-2025,Palmas,717.32
06-2025,Porto Velho,635.83
06-2025,Rio Branco,640.39
